names,cats,desc
Mr Biff the Boxer,Age 4+,"Mr Biff and Mr Bop are boxers and it will soon be time for their annual charity boxing match. Mr Bop is very fit, but Mr Biff has been eating too many cream cakes, drinking too much beer and lazing in his armchair.
Can his loving family get him fit and tough enough to put up a good fight?
His children make him do lots of training and his wife puts him on a strict diet. Soon he is fit as a fiddle.
The Ahlbergs' funny and classic Happy Families story is now available in a larger format. Ideal for newly independent readers, it packs in messages about family, frien"
Tom Thumb,Age 3+,"Tiny Tom Thumb is no larger than his father's thumb and he's always getting into trouble. This traditional tale from English folklore is carefully retold for young readers.
It is part of the Usborne Reading Programme developed with reading exper"
Mrs Wobble the Waitress,Age 3-6,"Mrs Wobble is a waitress. She loves her job and the customers like her; the only trouble is she wobbles. After spilling soup, jelly and even a roast chicken on the customers she is sacked. Luckily Mrs Wobble's family have a plan to cheer her up and find her a new job!
This cheery and funny tale is another winner in the Happy Families range of stories. Perfect for sharing, i"
Nursery Rhymes,Age 0+,"Ten beloved nursery rhymes, including 'Humpty Dumpy' and 'One, two, buckle my shoe'
Bright and colourful illustrations from the creator of the Maisy series
Perfect for rhymetimes wit"
The Further Adventures of the Owl and the Pussy-Cat,Age 3+,"At the end of Edward Lear's much loved poem, the happily married Owl and the Pussy-cat are dancing hand-in-hand on the edge of the sand... but what happened next? Julia Donaldson teams up with illustrator Charlotte Voake to continue their story.

In this new installment of their adventures, Puss's ring is stole from the newlyweds, and the the pair must travel far from the safety of the Bong-tree glade to find it. Their search takes them across the sea in a hot air balloon to the Chankly Bore, where they finally track down the thief.

Voake and Donaldson have created a charming tribute to Edward Lear in this delightful picture book, which is certain to please both children and nostalgic adults. Both text and illustrations are perfectly in keeping with Lear's original, and fans will enjoy spotting other familiar creations, such as the Pobble who has no toes, the Jumblies, a"
Father Christmas,Age 2+,"It's December 24th. But for poor Father Christmas, that means his hardest night of work is ahead. It's cold, he's tired - and there's so much to do.
There's a reason why this book has stayed a children's classic for over 40 years. It is 'blooming' funny to see Father Christmas slog through the night, growing ever-more grumpy and in need of brandy and mince pies.

Yet the soft comic-strip illustrations are rich with detail and moments of quiet joy. Children's faces peer excitedly out of suburban houses. Like advent calendar doors, the windows reveal balloons, mistletoe and Christmas puddings. Briggs captures the magical sense of being on the cusp of a glorious party.

Back home, after delivering the presents, we also get to see Father Christmas enjoy the little things in life: a good bath, some lovely grub,"
Mrs Pepperpot Minds the Baby,Age 3+,"Mrs Pepperpot has an unfortunate problem: she shrinks at the most unexpected moments. And one of those moments comes while she has agreed to look after Roger, the neighbour's baby.
Delighted, Roger takes her for a doll, and it takes all Mrs Pepperpot's ingenuity to keep him (and herself) safe until his mother returns.
In this newly illustrated and abridged full-colour picture book version of the original story, Hilda Offen has removed most of the Scandinavian touches of the original drawings, but she has retained Mrs. Pepperpot's essential bun, red and white striped dress and white apron.
This is an updated Pepperpot book that should appeal to both th"
Melric and the Sorcerer,Age 4+,"The king wants his magician, Melric, to make him more powerful but Melric keeps telling him that more power will not make him happier. Instead of listening, the King invites Sondrak the sorcerer over to see if he will help grant his wish. Melric soon realises that the sorcerer is up to no good - but how can he get rid of him without making the king angry?
David McKee’s stories are a joy to read. Each page is bursting with gorgeous, detailed illustrations that not only bring the tale to life, but tell stories of their own. Children will delight in spotting all the activities taking place in the colourful spreads, making this a staple for any bookshelf "
Alfie Outdoors,Age 3+,"One sunny day Alfie decides to explore the bottom of his garden looking for some peace and quiet. He finds his Dad in the garden digging. Alfie's Dad explains that he is digging a vegetable patch and asks Alfie to help. Alfie thought the gardening would be boring but he finds creepy crawlies and helps make a bonfire. He is allowed to plant his own seeds and decides to grow carrots for an unusual special friend.
Shirley Hughes has created another wonderful book featuring Alfie and his family. Her beautiful illustrations show Alfie in his garden and help the reader to learn about growing vegetables. A classic Alfie adventure for adu"
Quentin Blake's ABC,Age 2+,"A zany rhyming text complements lively, humorous illustrations in this wonderful ABC book.
Rhyme has often been used as an aid to learning but Quentin Blake’s text is so clever and appealing that youngsters will enjoy this book for its own sake. Mixing together both contemporary and traditional elements, it offers up many opportunities for interaction and discussion.
Learning your alphabet has never been so much fun as with this brilliantly funny book from a multipl"
Alice Through the Looking-Glass,Age 5+,"Alice walks through the mirror above the fireplace and into the topsy-turvy Looking-Glass Kingdom in this glorious retelling of Lewis Carroll's classic story.
Emma Chichester Clark presents this sequel to Alice in Wonderland in picture book format, combining an intelligently pared-down version of Carroll's text with her own colourful and beautiful artwork. Favourite characters such as the Walrus and the Carpenter, Tweedledum and Tweedledee, the White Knight and the Red Queen are brought vividly to life, making this an engaging version of the story that will ensure Alice's curious adventures remain fresh and accessibl"
How the Grinch Stole Christmas,Age 4+,"With a heart two sizes too small, the Grinch is the meanest creature you'll ever meet. He hates Christmas and the whole festive season. But when he hatches a dastardly plot to steal Chr"
I Want My Potty!,Age 2+,"The Little Princess hates nappies, and thinks there must be something better. At first she thinks the Royal potty is even worse - but she soon learns to love it, even if it isn't always there exactly when she needs it.
The first book in this favourite series from Tony Ross will introduce young readers to the ever-demanding but lovable Little Princess. Ross's illustrations are full of character and humour, bringing the story vividly to life. This is classic picture book entertainment - and will be especially appreciated by any children who are learn"
Mockingbird Song,Age 0+,"Celebrates the love and warmth that surrounds a cherished infant.
Beautifully illustrated retelling of the traditional gifting song ('Hush, little baby, don't say a word..')
Emotional content makes it"
Wait and See,Age 3+,"Jo has saved up her pocket money and is tempted to spend it all at the local shops, but instead, decides to wait and see. Sure enough, her mother forgets her money at the post office and Jo steps in to help.
On the way home, Jo’s mum tells all the shopkeepers about Jo’s kind act and they reward her with all the exciting food she wanted to spend her money on in the first place.
Just as well – as we see in Eileen Browne’s warm illustrations, Jo’s dad has been cooking dinner, but something has gone wrong… A lovely story about the good thi"
Oi! Get Off Our Train,Age 3+,"A welcome republication of a thirty-year old modern classic from a prolific author and illustrator who deservedly has been nominated for the 2012 Hans Christian Andersen award.
As a small boy drifts off to sleep he dreams that he is taking a journey around the world in his model train. He visits many different habitats where endangered animals beg a lift on the train to escape their impending extinction, brought about by the thoughtlessness and greed of those who misuse the environment. Initially unwilling to take more passengers, he relents as he hears each creature's plight.

Burningham's characteristic soft-focus illustrations atmospherically capture both the dream setting, and the impending danger which faces so many species, al"
In a Minute,Age 4+,"The third collaboration between Bradman and Browne (the inventor of the wonderful Handa's Surprise), introduces us again to Jo, and to her friend Sita, whose visit to the park with Jo's parents is threatened by so many delays they fear they'll never get there.
Bradman and Browne detail the everyday things which carers do which frustrate children when they are desperate to be off and doing: getting the food ready, losing the dog lead, talking to the friends they meet. They miss the bus, and then there's a terrible disappointment in the park before they find a great surprise.
The lively, detailed illustrations introduce a wealth of additional information into this multicultural society, providing talking po"
The Jolly Christmas Postman,Age 5+,"In this follow-up to the Ahlbergs' classic The Jolly Postman or Other People's Letters, we follow our happy postman on his Christmas rounds in a fairytale town. Children will love exploring the illustrated details and seeing what's in all the envelopes.
Find out what's on Humpty-Dumpty's get-well jigsaw and who has sent Red Riding Hood a board game for Christmas. Preschoolers will enjoy the rhyming text and familiar characters and older children can start to read the story and letters themselves. An old favourite that will be pulled out every Christma"
"Not Now, Bernard",Age 4-5,"This is the classic story of Bernard, whose distracted parents fail to notice he has been eaten and replaced by a monster. We follow Bernard as he does his best to attract his mum and dad's attention to the monster in the garden who wants to eat him - only to hear the repeated refrain of 'Not now, Bernard.'
Short, pithy and without a page wasted, this is a wonderful picture book. McKee deals with a sad theme in a clever and funny way, which will reso"
The Emperors New Clothes,Age 2+,"This is a satirical story about a very vain Emperor who adores beautiful new clothes and has wardrobes full of them!
When two sly swindlers, masquerading as weavers, tell him that they can make the most beautiful cloth he has ever seen into an incredible outfit, the Emperor's foolhardy vanity gets the better of him.
Marcus Sedgwick's retelling is masterfully accomplished. He has used verse to enhance the text and animals to give an anthropomorphic and human account of this story. Alison Jay's illustrations are of stunning quality and the"
Little Tim and the Brave Sea Captain,Age 4+,"Five-year-old Tim lives by the sea and longs to be a sailor. Although his parents have forbidden it, he seizes the opportunity to stowaway on a steamer and his dreams of life on the ocean are finally realised.
Tim soon settles in to life on board, making friends with the Captain and taking the second mate his grog. However, one day a terrible storm hits the ship and soon little Tim and the Captain are the last men standing aboard the sinking vessel. Will help arrive in time?
This charming and ultimately reassuring story is a reissue of Edward Ardizzone's classic 1936 picture book. The exquisite illustrations have stood the test of time and are sure to enchant a new genera"
Lucy and Tom At Christmas,Age 3-7,"Lucy and Tom are getting ready for Christmas. There is masses to do - pudding to stir, cards to make, decorations to put up and presents to wrap.
Mum helps them to write letters to Father Christmas, and dad takes them to choose a Christmas tree. It's hard to go to sleep on Christmas Eve knowing that Father Christmas is coming soon! After church, lots of friends and family arrive for dinner. Lucy and Tom hand out the presents and baby Elizabeth goes to sleep in the wrapping paper. After lots of games, they light the tree and Christmas joy spills out into the street.
A heart-warming celebration of a classic Christmas with many evo"
Mog's Christmas,Age 4+,"The house is full of strange bustling, there are new noises and new smells, and where is that tree going? Disconcerted by all the unusual activities, Mog escapes to the roof, and there she stays…until, une"
The Pied Piper of Hamelin,Age 4+,"Morpurgo elaborates on the traditional 13th-century tale of the Pied Piper who is denied payment for ridding the corrupt and uncaring citizens of Hamelin of a plague of rats. In retaliation he lures all the children into a cave in the mountains through his hypnotic piping.
This version is seen through the eyes of the disabled boy who escapes, and Morpurgo has the Piper instruct the boy that if in a year the town is cleaned up, and the poor cared for, he will release the children.
Clark follows in an illustrious tradition of Pied Piper illustration, creating a 19th-century setting, the text bordered by Victorian motifs and interspersed by full picture spreads. Together"
Alfie Wins a Prize,Age 3-7,"Alfie decides to enter the painting competition at the Big School's Harvest Fair. The judges think his picture is worthy of one of the main prizes. But Alfie is more taken with the consolation prize – a folorn looking woolly animal that looks like it needs some consoling itself.
What is just lovely about this book – as with all the Alfie books – is not so much the plot as the finely-observed detail of family life. Both in her words and her pictures, Shirley Hughes captures not only the typcial events of the small child's world, but the emotional sway of it too.
Her illustrations cry out to be pored over on repeated re-readings. And there is a dog in the pet show that l"
Horton Hears a Who!,Age 3+,"Now a major film, Horton Hears a Who! is a hilarious picture book in verse from the world-famous Dr Seuss. Horton is an elephant who takes his responsibilities of caring for smaller people very seriously. Reading this book together with your child will reinforce the need to care for other people and encourage less confident children to believe that it"
Ned and the Joybaloo,Age 3+,"Ned always looks forward to Friday when he gets the chance to play with the Joybaloo he finds in the airing cupboard. Together they laugh and play and discover the most fantastic adventures. But when the Joybaloo can’t play anymore, Ned finds he has to make his own fun and realises it isn’t actually that hard after all.

Hiawyn Oram is a master at understanding and interpreting childhood imagination into exciting fantasy tales, brought to life by wonderful illustrations full of movement and light. Ned and the Joybaloo is no exception, and is a de"
Jack and Nancy,Age 4+,"Jack and Nancy want to have an adventure. They live beside the sea and from their bedroom window they can see the ships sailing off to far-away lands. The local sailors regale them with tales of strange, exotic places, showing them bright birds brought back from hot jungles. The young siblings long to see it all for themselves. Little do they know that a strong wind and an umbrella will make their wish come true! Blown out to sea and dropped onto a tropical deserted island the duo find themselves surrounded by wonder and excitement, but will they ever be able to get home again?
This simple but enchanting tale is brought to life by Quentin Blake’s illustrations, conjouring up magical worlds that wholly engross the reader. Follow Nancy and Jack as they climb trees, swim under the sea and clamber over waterfalls, while each exquisite drawing pulls you in to experi"
Melric the Magician Who Lost His Magic,Age 3+,"Melric, the King’s magician, uses his magic to help everyone in the kingdom with everything from watering their plants to growing their beards. But one day he wakes up to find his powers have disappeared! Melric sets off to get help from his magical friends, but to save his kingdom from attack he must use to learn his powers more wisely - and those around him must learn to rely on themselves, starting with making their own beds.
This fun, thoughtful story is perfect for sharing. Children will enjoy meeting Melric’s extraordinary friends and seeing all the silly ways the townsfolk try and look after themselves. This story could also provide a great way to introduce the topic of "
The Snow Womble,Age 5+,"We first met the Wombles more than 40 years ago, and since then, they’ve appeared in many different formats. Bloomsbury are now re-issuing the original chapter books, as well as revising the stories for a series of picturebooks, all illustrated by Nick Price. The Snow Womble is a story taken from Beresford’s first book, and builds on an equally long tradition of Womble picturebooks for younger readers.
The story incorporates several favourite Womble characters , with Uncle Bulgaria appearing as his characteristically bluff but ultimately kindly self. Price’s illustrations depict the Wombles as they appeared in the animated film series, in clear large, bright spreads which interpret the text well. This winter-themed title will bring these classic characters to a new young audience, an"
Shark in the Park!,Age 3+,"But wait it's only a cat. He looks again and there's another shark! Phew, only a crow, and the next time, it's just his dad. But as he sets off for home, is he really sure it's a shark-free park?
Some of the fun of this book lies in the sheer incongruity of spotting a shark in this spick-and-span, candy-bright park full of smiling people. Part of the fun comes from joining in with words and actions every time Timothy raises his telescope, then there's clever visual trickery with the sinister dark fin!
A hugely entertaining reworking of the boy who cried wolf or was"
Jamela's Dress,Age 4-8,"Jamela wraps herself up with the new material that her mother bought to make herself a dress for a wedding. What begins as an innocent game, however, ends up with unpredictable consequences. Warm, vibrant illustrat"
Mr Wolf and the Enormous Turnip,Age 4-8,"Mr Wolf is about to dig up the enormous turnip in his garden for stew when a frog demands his assistance: the kiss of a princess is needed to restore his prince-hood.
Rumbling stomachs ignored, they depart for the palace. The kisses of two hoity-toity princesses fail but garage-mechanic princess number three breaks the enchantment.
However, the resulting prince is definitely un-enchanting. Mr Wolf decides there’s only one solution to the problem (gulp!).
There is much humour in the skilful juxtaposition of two favourite tales – The Frog Prince and The Enormous Turnip – and the perky illustrations are crammed with v"
Some Dogs Do,Age 3+,"One morning, Sid the dog is filled with an overwhelming feeling of happiness which – to his utter surprise – sends him floating into the sky and all the way to school!
He excitedly tells his friends, but is laughed at and ridiculed by them, because they all know - of course – that dogs can’t fly. Sid is challenged to prove his aeronautical skills, but by this time his happiness has been replaced with a sad, heavy feeling inside; when he leaps into the air, he just lands with a flop on the ground.
When he arrives home, it falls to Sid’s dad to cheer him up with a little secret! Colourful illustrations and rhyming text combine in this truly uplifting "
Incey Wincey Spider,Age 1+,"Part of the Sign and Singalong series of bright, colourful books featuring children showing signs and actions to accompany simple rhymes like Incey Wince"
"What's the Time, Mr Wolf?",Age 0+,"A captivating story of wolves with dinner on their minds. The wolf finger puppet attached to the book brings the story to life and is great fun for snapping at little fingers, and clocks on each p"
Window,Age 4+,"A mother and a baby look together at the view from their window: a scene of wilderness and sky. As the pages turn, the baby grows up, and gradually the scene before him changes. First we see a clearing, then a single house, then a village, then a city… but what will happen next?
Children will enjoy studying all the details of the beautiful collage illustrations in this wordless picture book, which makes an ideal starting point for conversations about the environment. Look out for the different animals an"
We're Going on a Lion Hunt,Age 3+,"A re-telling of a traditional story that will take you to another world
This irresistible African version is great to join in with
Have fun with lots of delic"
Owl Babies,Age 3-7,"When three baby owls wake up to find their mother gone, they feel scared and vulnerable. But their anxieties soon prove unfounded by Mum's safe return. This reassuring and stunningly illustrated book tackles the subject of temporary separation - a situation which all children are likely to experience, be it Mum going to work or first day at Nursery. No father figure is menti"
Whadayamean,Age 3-7,"After God made the world, he wanted to visit it and see how it was getting on. So he put everyone to sleep, except for two children who were playing under a cedar tree. But God didn’t like the things he saw: the water was polluted, the trees were being cut down and the polar ice was melting: so he told the children to speak to the people with the money that cut down the trees and fouled the air; to tell the people who said they spoke for God to stop quarrelling; and to ask the people who stood by and did nothing about all of these things to change their ways.
John Burningham’s book was topical in 1999 when it was published, and remains so today. A call to action for children to persuade adults to make a better world, it’s a reminder that we are stewards of the earth and need to take care of it before it’s too late. The book does represent the Christian God as Creator of the world, and would be a good inclusion with a selection of books depicting creation myths, or alongside other books w"
The First Christmas,Age 4+,"Jan Pienkowski's silhouette illustrations lend an air of mystery and drama to this text, taken from the King James Bible.
As the Nativity story unfolds, familiar scenes are brought vividly to life by exquisite illustrations. A dark stable is flooded with light from Joseph's lantern as woodland animals look on.
Angel Gabriel adopts a lively, dynamic pose as the figures of startled shepherds cower beneath him. The silhouette of a young Jesus working with his carpenter father is illuminated by a colourful rainbow, symbolising hope.
Wreaths of holly, pine cones and leaping reindeer, wrap themselves around the text, reflecting more modern images of Christmas but not detracting from the timeless story of Christ's birth. A modern classic to be sh"
Kipper and Roly,Age 3+,"It is Pig's birthday and he tells all his friends he would like a little pet for a present. Kipper buys Pig a hamster, names him Roly and enjoys playing with him so much he becomes very fond of him.
When Kipper arrives at Pig's birthday party Pig has already received a rabbit, a mouse, two guinea pigs and a stick insect. He likes Roly very much, but doesn't really need another pet.
Pig has a brilliant idea; he asks Kipper to look after Roly for him. Kipper is overjoyed. Here is another gentle and uplifting story about Kipper and his friends. It is ideal for use with individual children and Mick Inkpen's delightful, expressive illustratio"
Za-za's Baby Brother,Age 2+,"When Za-za's mum has a baby, it's hard for Za-za not to feel left out.
The baby is always hungry or tired or needs a nappy change and Mum and Dad are both so busy. Even the visitors only seem interested in her new little brother. When Mum suggests Za-za should cuddle the baby, she is a little sceptical but soon discovers that having a baby brother can be fun and that Mum and Dad have enough love for both of them.
This classic picture book is accompanied by an animated DVD and reading of the story, which is beautifully presented and complements both the text and Lucy Cousins'"
Elmer and the Lost Teddy,Age 0+,"When Baby Elephant loses his teddy and can't sleep, Elmer lends him his own, promising to help find the lost one.
As he searches the forest for the missing bear he discovers that each of the baby animals there has a teddy which is special for them.
McKee's Elmer has now dazzled young and old in more than a dozen books for nearly 20 years, and the message throughout has been to celebrate difference.
In this republication of a 1999 title, McKee shows young readers that we each have special things which nobody else loves quite as we do. As ever, the pages are alive with vivid colour and pattern, and we meet "
The Story of Babar,Age 4+,"' In the great forest, a litle elephant was born. His name was Babar...'
First published in the 1930s, this charming French classic tells the story of what happens to baby elephant Babar as he grows up. When his mother is shot by cruel hunters, a grief-stricken Babar leaves the forest and wanders to a nearby town. There, he is taken under the wing of a rich old lady, who dresses him elegantly. He learns mathematics and to drive a car - and even sleeps in a bed. But before long, he misses his fellow elephants, and soon he returns to the jungle,where he is crowned king of the elephants and marries his queen, Celeste.
With beautifully distinctive illustrations from Jean de Brunhoff, a sometimes surreal and sometimes moving story, and a loveable hero in the dignified Babar himself, The Story of Babar rema"
I Will Not Ever Never Eat a Tomato,Age 4+,"Patient older brother Charlie cleverly tricks his younger sister, Lola - an extremely fussy eater - into eating all her least favourite foods. Carrots are 'orange twiglets from Jupiter', mashed potato is 'cloud fluff', and the tomato-like 'moon-squirters' become her favourite food of all!
This is the first picture book about the brilliant brother and sister duo, Charlie and Lola. A bold and brightly-coloured book illustrated in Lauren Child's distinctive style, incorporating a varied typeface and a characteristic combination of collage techniques, it will be completely irresistible to children and their parents. Great fun to share, this story may even persuade"
From Acorn to Zoo,Age 2+,"This is an alphabet book with a difference, in which the unexpected is juxtaposed with the everyday to sometimes surreal effect.
Amusing and inventive, bright and colourful, fabulously illustrated in Kitamura's trademark quirky style, From Acorn to Zoo is sure to challenge and delight young children.
The additional tableaux below the key letter illustrations, which feature such memorable images as an armadillo balancing an apple and an acorn, an iguana on ice skates and a jaguar eating "
Pat-a-Cake!,Age 0+,"A beautiful, strong, board book
Part of a series introducing well loved games and rhymes
The books are bound to become a much-loved"
I Like It When,Age 1-4,"The pleasure of parent-child activities like storytelling, playing hide-and-seek and bathtime are perfectly depicted through simple text and effective illustrations. A touching and heart-warming book, illus"
The Usborne Book of Nursery Rhymes,Age 6months+,"• This is a big collection of over forty rhymes to enjoy together
• It’s a great book that will last your child well after they start school
• You’ll have great fun"
The Snowman,Age 3+,"James builds a snowman in the garden, then wakes up in the night to find that it has come to life. He shows the Snowman his home, and in return, the Snowman whisks him away on a very special journey.
This beautiful picture book is a Christmas classic. The stunning illustrations beautifully convey the story of a small boy's magical friendship with a snowman. Full of love and imagination, this is an extraordinary and atmospheric ta"
Elmer's Friends,Age 0+,"A colourful board book in which the ever-popular Elmer the Elephant praises each of his friends for their different strengths. An ideal starting point for discussing the value of differences and individuality.
Elmer the patchwork elephant is a winning character in children's literature. A one-off and always fun, he has i"
The Tiny Seed,Age 3+,"In the autumn, flower seeds are blown up in the air and across the land. Some seeds are burned by the sun while others land on ice and die. Seeds land in the ocean or the dry desert where they cannot grow.
Eventually, after a long trip the seeds settle on the earth. Birds and mice eat some seeds, but in the spring others start to grow.
Weeds kill off some plants, but one tiny seed escapes all the dangers of the journey. It grows from a tiny seed into a huge sunflower.
In the autumn it makes seeds and these are blown away... The story of a plant told with Eric Carle’s bold, bright illustratio"
Do You Want To Be My Friend?,Age 3+,"'Do you want to be my friend?' Asked just once, this simple question starts a little mouse's journey through this almost wordless picture book, seeking the perfect companion.
Mouse considers a veritable menagerie of animals; on each page, he meets only a tail, then, over the page, the tail’s owner (and potential friend) is revealed – although none of them is quite right.
Finally, mouse meets another mouse: 'Do you want to be my friend?' 'Yes!' comes the reply!

The repetitive pattern of this book has a lovely simplicity. It is fun guessing the animals and comparing sizes and shapes, and the illustrations’ vivid colours and boldly visible brushwork inspire creativity - and there's a guest appeara"
Grandma's Bill,Age 4-8,"Bill and his Grandma look through an album containing old photographs of Bill's grandfather, who is no longer alive. A touching story about a young boy's special "
Snow White in New York,Age 4+,"The Snow White fairy tale receives a 1920s Art Deco treatment in this beautiful retelling by Fiona French. Now a beautiful socialite, Snow White falls foul of her celebrity-loving stepmother who the tabloids call 'the classiest dame in New York'.

Left to fend for herself in the wild city, Snow White finds work singing with the seven jazz-men and, discovered by a handsome music reporter, becomes the Belle of New York City once more.
Danger looms in the form of a poisoned cocktail cherry, but in the end Snow White is rescued from death by the reporter, and they sail off into the sunset aboard a luxury cruise ship.

Reminiscent of the paintings of Tamara de Lempicka, this beautiful book oozes with attitude, style"
The Frog Prince Continued,Age 4+,"After the Princess kissed the frog, he turned into a handsome prince, and they lived happily ever after… or did they? This continuation of the favourite fairy-tale reveals what really happened after the happy ending - the Princess can't stand the Prince's froggy habits, and starts to wish she had never kissed his 'froggy lips' in the first place!
The Prince decides they would both be better off if he were changed back into a frog again, but persuading a witch to reverse the spell proves a little more difficult than he at first anticipates.
Steve Johnson's quirky and humorous illustrations will delight young readers, depicting the characters breaking out of the ragged edges of the storybook pages, escaping the conventions of the fairytale to reach a new happy ending of a very different kind in this enjoyably a"
Prince Cinders,Age 3+,"Prince Cinders leads a hard life, bullied by his three big hairy brothers who leave him to do the cleaning while they head off to the Palace Disco with their glamorous princess girlfriends.
That's until one Saturday night when Cinders' luck changes, and a small, very dirty fairy arrives on the scene, promising that all his wishes will come true. But unfortunately for Prince Cinders, not all the fairy's spells turn out exactly as planned...
Children will delight in the quirky humour of this alternative version of a favourite fairytale, accompanied by B"
Princess Smartypants,Age 3+,"Princess Smartypants does not want to get married. She enjoys being a Ms. But being a rich and pretty princess means that all the princes want her to become their wife. Find out how Princess Smartypants fights to preserve her independence in this riotously funny twist on the fairy-tale tradition.
With Babette Cole's hilarious illustrations and plenty of tongue-in-cheek humour, this anarchic story will delight children - and Princess Smartypants provides a brilliantly refreshing alternative to the traditio"
Borka,Age 3+,"Borka is a goose born without feathers, she is different and she doesn't know why. Her five brothers and sisters have white feathers, and her mother and father, Mr and Mrs Plumpster have feathers too. Mrs Plumpster knits Borka a woollen vest, which keeps her warm when the nights are cold but gets too heavy when she swims.
As the nights get colder the other geese leave for warmer climes, flying off into the sunset. Borka cannot fly but she can still have an adventure. With the help of a dog named Fowler, a captain called McAllister and his mate Fred, she sets off to find a new home where all the animals are different and being a goose without feathers is nothing to be ashamed of.
John Burningham's classic picture book is celebrated in this 50th Anniversary edition with a new jacket. The artwork has retained its vibrancy, the colours are rich and the technique is a marvel (the migrating geese are particularly beautiful). While the story is simple its lovely details make it memorable and the illustration should inspir"
I Want My Hat Back,Age 4-6,"A bear sets out in search of his missing hat. Along the way, he asks all the animals he meets if any of them have seen his hat. They all say no… but one of them is lying.
Told in a refreshingly deadpan manner, this quirky and distinctive picture book from US author and illustrator Jon Klassen will delight young readers. Beautiful and stylish illustrations, in a palette of muted colours, provide the perfect complement to the "
Comic Adventures of Boots,Age 3+,"Executed in lively comic book form, this series of everyday, yet unlikely, adventures features Boots, a highly original cat hero, though many of the cats from Kitamura's other books, such as Leonardo and Pablo, appear in cameo roles.
In 'Operation Fish Biscuit' Boots slyly reclaims his familiar sleeping post after competition from the neighbourhood cats; in 'Pleased to Meet You, Madam Quark', he takes swimming (reasonably successful) and flying (less so) lessons from a duck; and finally in 'Let's Play a Guessing Game', he calls on his newly-learned swimming skills to impress his friends.
With stylish and witty endpapers of Boots's feverish imagination at work, this is a delightful new addition to Kitamura"
Macavity,Age 3+,"Escaped from Old Possum's Book of Practical Cats, Macavity is now the star of his own picture book. With new illustrations from Arthur Robins, this timeless rhyme will charm a new generation. Macavity is a dastardly criminal, he's got the police chasing their tails, and the rest of the world wondering how he does it - 'For when they reach the scene of the crime - Macavity's not there!'
Children will love shouting out this joyous refrain as Macavity evades the law time and time again. The bounding rhythm should make even the odd dated word or reference manageable and the scratchy illustration style perfectly suits our uncombed anti-hero. As the hapless police dog scours the pages for clues, Macavity makes more mischief that will entertain and delight. Macavity, Maca"
Baby's Bathtime,Age 0+,"Bold, colourful and great fun, this simple and striking book is a humorous depiction of one baby's bathtime routine. Other titles in the series look at a"
Moomin and the Birthday Button,Age 3+,"Jansson's Moomins have entertained young readers for sixty-five years, and Puffin are celebrating this by publishing a new series of picture books using the author's original characters and artwork whilst creating newly adapted storylines.
In this, the first, we meet many familiar Jansson creations, as Moomin fears that they have forgotten his birthday and are too busy to talk to him. Pre-school children will relate to this fear, and gain reassurance from the denouement: a surprise present and a party, making this an ideal bedtime story.
Bold use of colour, with the characters placed against unfussy backgrounds and well-designed printing on the page layouts enhance the original drawings, preserving the unique blend of northern landscape with"
Plum,Age 3+,"This enjoyable collection from popular children’s poet Tony Mitton brings together a wide range of engaging poems for younger children.
Exploring a variety of different forms and styles, from ballads, to riddles, to rap, many of these deceptively simple poems take their influences from folk tales and fairy tales from all over the world. Accompanied by delicate illustrations by Peter Bailey, this collection makes an ideal introd"
Finn Family Moomintroll,Age 5-8,"Moomintroll is cheerful and chubby and lives in the magical Moominvalley with his mother, Moominmamma, his father, Moominpappa and all of their friends. Throughout the winter the Moomins hibernate, but before they go to sleep they fill their tummies full of pineneedles. In spring they wake up, ready for their fun-filled summer adventures.
This beautifully-written story from Tove Jansson introduces the loveable Moomin family and follows them on a series of remarkable adventures. Both children and adults will be entranced by Jans"
Alfie Gives a Hand,Age 3+,"Shirley Hughes' much-loved Alfie goes to his first birthday party in this lovely picture book for pre-school children. Feeling shy and scared, Alfie decides to take his old blanket with him, but when he arrives at Bernard's house, he finds it begins to get in the way of the party fun. When he sees a little girl called Min who feels even more worried and frightened than he is, Alfie decides to be brave and put his blanket down to lend Min a hand, and help her to enjoy the party.
Beautifully illustrated in Shirley Hughes' inimitable style, this is a warm and reassuring story which is ideal for helping young children deal with new experiences, and feelings of anxiety or fear. A delightful introduction to going to a first party, featuring all the classic party ingredients from presen"
The Little Fir Tree,Age 6-8,"Deep in the forest, there lives a beautiful little fir tree. Though he’s surrounded by the wonders of nature, the little fir tree can only compare himself to the other things in the forest, and find himself lacking.
The seasons change and the bigger fir trees around him are picked and taken to see the world – some are made into cabins and others are made into boats. But the little fir tree is still not picked. That is, until Christmas Eve, when he is specially chosen and taken into town, and it feels like all his dreams have come true. But what will happen the day after?
In this beautifully illustrated modern retelling of Hans Christian Andersen’s tale, the values of appreciating what we already have and the cycles of nature are explored. The story of the little fir tree is brought to life with the vivid, folk-insp"
